,sno,state,City,Place,Best_time_to_visit,Distance,Place_desc
2275,2276,Uttar Pradesh,Mathura, 16. Bhuteshwar Mahadev Temple ,All Year, 4 km  from city center ," Bhuteshwar Mahadev Mandir is a revered Hindu temple situated in Garravkendra, Mathura dedicated to Lord Shiva, also known as Bhuteshwar Mahadev. It is also a Shaktipeeth where the ringlet of Mata Sati fell after her body was destroyed. The shrine is considered auspicious and unique as it is one of the very few temples in the city which is not dedicated to Lord Krishna. "
2276,2277,Uttar Pradesh,Mathura, 17. Kokilavan Dham ,All Year, 40 km  from city center ," Kokilavan, situated near Kosi Kalan in Mathura, houses the famous Shani Temple, dedicated to Shani Dev (Saturn) and his guru Barkhandi Baba. Since the site is located amidst the jungle hence, it has also come to be known as Kokilavan Dham. The pilgrims perform a parikrama of the temple and take a dip in the holy kund here. "
2277,2278,Uttar Pradesh,Mathura, 18. Vaishno Devi Dham ,All Year, 9 km  from city center ," Vaishno Devi Dham in Mathura, popularly known as Ma Vaishno Devi Mandir is dedicated to Ma Vaishno Devi who is believed to grant boons to her devotees. Established by Shri J C. Chaudhry, the temple is visited by pilgrims to worship the magnificent idol of Ma Vaishno Devi alongside serving the poor. There is a  cave that with water that leads to the top of the idol.
 "
2278,2279,Uttar Pradesh,Mathura, 19. Potara Kund ,All Year, 1 km  from city center , Potara Kund is one of the four kunds in Mathura and is the water pond where baby clothes of Lord Krishna were washed in his childhood. The water tank is made in red sandstone and hs steps to descend inside. The place is a popular tourist spot and is thronged by pilgrims. 
2279,2280,Uttar Pradesh,Mathura, 20. Gopishvar Mahadev Temple ,All Year, 2 km  from city center ," Situated in Vashimat in Vrindavan, Mathura, Gopishvar Mahadev Temple is Lord Gopeshwar - incarnation of God Shiva in a feminine form. The idol is decorated and decked up imagining it to be a female friend (sakhi) of Lord Krishna. The shrine is especially popular among the devotees and is visited by pilgrims from far and wide. "
2280,2281,Uttar Pradesh,Mathura, 21. Chamunda Devi Temple ,All Year, 3 km  from city center ," Chamunda Devi Temple is one of the 51 Shakti Peetha. It is believed that a hair strand of Mother Bhagwati Jagdamba fell at this sacred spot. Also, according to Srimad Bhagwat, Sri Krishna visited Chamunda Devi Temple after liberating the dragon.  "
2281,2282,Uttar Pradesh,Mathura, 22. Dauji Mandir ,All Year, 2 km  from city center ," About 18 kilometres from Mathura is one of the most revered temples of the country, the Dauji Mandir. The temple has stood for over 5000 years since 1535 AD and is one of the oldest temples in the city. The presiding deity of the temple is Lord Balarama, who was the elder sibling of Lord Krishna. "
2282,2283,Uttar Pradesh,Mathura, 23. Dolphin The Water World ,All Year, 23 out of 28  places to visit in Mathura ," Sprawling over 14 acres of land area, Dolphin The Water Park was established in 2002 and has been a popular source of recreation and entertainment for the city dwellers and tourists ever since. The water cum theme park offers a variety of rides and fun games both for adults and kids, They also have height based separate swimming pools. "
2283,2284,Uttar Pradesh,Mathura, 24. Barsana ,All Year, 35 km  from city center ," Barsana is the birthplace of Radha Rani as the Hindu goddess Radha (Lord Krishna's consort) was born in this city. Barsana is also popular for the grand celebration performed during the Holi festival, known as the Lathmar Holi.  "
2284,2285,Uttar Pradesh,Mathura, 25. Tilak Dwar ,All Year, 1 km  from city center ," Tilak Dwar in Mathura is a local market surrounding the Dwarikadish Temple and Vishram Ghat. It is known for trinkets like brass statue, rosary beads, handicrafts, painting, sculptures, and hand embroidered items at low prices.  "
2285,2286,Uttar Pradesh,Mathura, 26. Krishna Nagar Market ,All Year, 2 km  from city center ," Krishna Nagar is one of the high-end markets of Mathura known for branded shopping places like Leiv's, Tanishq, Manyavar, Nike, etc. There are also small shops selling souvenirs, dress materials, jewellery, shoes, leather goods and accessories.  "
2286,2287,Uttar Pradesh,Mathura, 27. Vrindavan ,All Year, 12 km  from city center ," One of the oldest cities on the banks of Yamuna, Vrindavan is considered to be one of the most important places of pilgrimage for the devotees of Krishna. It is said that Lord Krishna had spent his childhood in Vrindavan.  "
2287,2288,Uttar Pradesh,Mathura, 28. Shri Nand Yashoda Bhawan ,All Year, 7 km  from city center ," Shri Nand Bhawan in Gokul is the childhood home of Lord Krishna where he spent time with Balram, after his birth parents were captured by King Kansa. It is also known as Chaurasi Khamba Temple as it rests on 84 pillars. Nand Bhawan belonged to Nand Maharaj, the foster father of Lord Krishna. It was here that Sri Krishna and Balram's naming ceremony was conducted. "
2288,2289,Maharashtra,Alibaug, 1. Alibaug beach ,All Year, 2 km  from city center ," One of the top places to visit in Alibag, the Alibaug Beach is a black-sand beach which offers the panoramic sight of the Kolaba Fort from the shores. It is famous for its picturesque sceneries of sunrise and sunset. "
2289,2290,Maharashtra,Alibaug, 2. Kolaba fort ,All Year, 2 km  from city center ," Kolaba fort or Alibag fort is one of the most important tourist attraction in Alibag. It is a 300-year old fort which was once chief naval stations during the reign of Shivaji Maharaj in Maharashtra. Located near Alibag Beach, it is a spectacular sight during sunset.  "
2290,2291,Maharashtra,Alibaug, 3. Water Sports ,All Year, 7 km  from city center ," Famous for its beaches, Alibaug also offers water and adventure sports. The main beaches for water sports are Mandwa beach, Nagaon beach and Alibaug beach. These beaches offer activities such as parasailing, sea kayaking, jet ski and banana boat ride. "
2291,2292,Maharashtra,Alibaug, 4. Murud-Janjira Fort ,All Year, 41 km  from city center ," About 21 km from Kashid Beach, this fort is surrounded by the turquoise colored waters of the Arabian Sea. 
Dating back to 15th century AD, built under the rule of Emperor Malik Amber, the ruler of Ahmednagar, the structure sports an enchanting entrance to the fort depicting a carving of a tiger trapped by six elephants. "
2292,2293,Maharashtra,Alibaug, 5. Varsoli Beach ,All Year, 1 km  from city center , Varsoli beach is one of the least visited beaches of Alibaug. It is known for its beach resorts and cottages that are best suited for a peaceful getaway. The beach is also known for its variety of adventure sports.  
2293,2294,Maharashtra,Alibaug, 6. Villa Stay ,All Year, 6 out of 29  places to visit in Alibaug ," Staying in any one of the gorgeous villas facing the seaside is one of the popular things to do in Alibag. Besides enjoying a pleasant stay, sumptuous meals and a glamorous view, you can also avail the several spa and massage facilities available at these villas. These beautiful villas will help you relax and rejuvenate royal style. "
2294,2295,Maharashtra,Alibaug, 7. Kihim beach ,All Year, 8 km  from city center ," Located just 12 kilometres from Alibaug, Kihim Beach is famous for butterflies and birds. The beach is adorned with incredible golden sand. Water sports along with activities like Camel Ride and ATV are available. Beautiful migratory and resident birds also make their way to the Kihim beach and are found in abundance here.

 "
2295,2296,Maharashtra,Alibaug, 8. Nagaon Beach ,All Year, 6 km  from city center ," Located on the shores of the Arabian sea, Nagaon beach is 9 km away from Alibaug's city centre. Lined palms, betel, and Suru trees, this beach is most famous for its cleanliness and for hosting water-based adventure activities available at a reasonable price. Experience the life of the locals at the many homestays and resorts here, which make Nagaon Beach the perfect weekend getaway. "
2296,2297,Maharashtra,Alibaug, 9. Akshi Beach ,All Year, 6 km  from city center ," Akshi Beach is an offbeat tourist attraction located between Nagaon beach and Alibag beach. One of the cleanest beaches in India, boating, sunbathing and swimming can be enjoyed here. "
2297,2298,Maharashtra,Alibaug, 10. Kanakeshwar forest ,All Year, 10 km  from city center ," The beautiful, dense and majestically mesmerizing lush green Kanakeshwar Forest is known for its richness and abundance of flora and fauna. Poisonous snakes, Panthers, Leopards, and Wild boars can be spotted here roaming around the forest. The forest is so rich in vegetation as to block any sunlight and the interiors also have a temple dedicated to Lord Shiva. The trail is a little risky to undertake and is only advisable with prior precautions. "
2298,2299,Maharashtra,Alibaug, 11. Kashid Beach ,All Year, 24 km  from city center ," One of the most popular and alluring beaches of Maharashtra, the Kashid beach comes with a promise of a perfect and relaxed beach holiday. The sun kissed, white, clean sandy beach with crystalline water is full of natural beauty. "
2299,2300,Maharashtra,Alibaug, 12. Underi Fort ,All Year, 9 km  from city center ," Located in the heart of Mumbai Harbour, south of Prong's Lighthouse, is the Island of Underi. Also known as Jaidurg, this fortified island was founded in 1680 CE by Kahim of Siddhis. Comparatively smaller to Khanderi, a sister island, both the islands were landmarks for shipping vessels.  "
2300,2301,Maharashtra,Alibaug, 13. Awas Beach ,All Year, 12 km  from city center ," Located a little on the outskirts of Alibaug, Awas Beach is a beautiful stretch of golden sands lined with casuarina and suru trees. It is ideal for romantic getaways or to spend quality time in solitude. "
2301,2302,Maharashtra,Alibaug, 14. Mandwa ,All Year, 17 km  from city center ," The beautiful and mesmerizing Mandwa beach is located 20km north of Alibaug. Located in the vicinity of Gateway of India, the beach can be reached easily via ferries from Gateway of India. "
2302,2303,Maharashtra,Alibaug, 15. Korlai Beach ,All Year, 15 km  from city center ," Korlai Beach is one of the hidden gems of Mumbai. Situated at a little distance from the town of Alibaug, the main beach is located in the small fisher village of Korlai. Contrary to the usual sand beaches of Maharashtra, this one full of green-yellow weeds, pink oxalis flowers and grassy meadows during the rainy season. "
2303,2304,Maharashtra,Alibaug, 16. Saswane Beach ,All Year, 14 km  from city center , Saswane Beach lies on the coastline extended after Awas and Alibaug. The beach is known for its water sports (except during monsoon) and is frequented by travellers both from Pune and Mumbai owing to its flexible location.  
2304,2305,Maharashtra,Alibaug, 17. Raigadi Bazaar ,All Year, 1 km  from city center ," Located within a kilometer from the Alibaug beach, Raigad Bazar is a mall that has a lot of small bustling shops selling all kinds of small items, handicrafts, clothes, and accessories. It attracts locals for grocery shopping and other daily needs like medicines, gas, etc.  "
2305,2306,Maharashtra,Alibaug, 18. Brahma Kund ,All Year, 1 km  from city center , Brahma Kund is rectangular shaped kund surrounded by steps on all four sides. It is immensely popular for its religious belief as it is believed that the water in the kund was collected by constructing walls when Lord Brahma bathed Lord Krishna. 
2306,2307,Maharashtra,Alibaug, 19. Murud Beach ,All Year, 37 km  from city center ," A relaxing stretch of glittering white sand, Murud Beach is not as cluttered by tourist rush as are most popular beaches. A popular place to visit near Alibaug, it is known for the scenic views of the surrounding landscape and adventurous water sports. "
2307,2308,Maharashtra,Alibaug, 20. City Shopping ,All Year, 1 km  from city center ," There are numerous small shops in Alibaug selling clothes, accessories, kolhapuri chappals, antiques, etc. Do negotiate and cater to all your shopaholic desires at throwaway prices. "
2308,2309,Maharashtra,Alibaug, 21. Rewas jetty ,All Year, 17 km  from city center ," The jetty is 23 km away from Alibaug, famous and significant for Mumbai Launch service. It is 6km away from Kihim. "
2309,2310,Maharashtra,Alibaug, 22. Revdanda Fort and Beach ,All Year, 24 km  from city center ," The ruins of the Portuguese Revdanda fort are veiled in wild plantations. Even though the fort is now in ruins, the pure historic charm combined with the nature's exotic beauty - the Ravdanda beach - make this a must visit place in Alibag. "
2310,2311,Maharashtra,Alibaug, 23. Vrindavan Farm ,All Year, 2 km  from city center ," Spread over a sprawling 28 acres, is a synonym to a day trip of nature walks through countless mango, chikoo, guava, custard apple trees, cacti, crotons and more. "
2311,2312,Maharashtra,Alibaug, 24. Kanakeshwar Devasthan Temple ,All Year, 11 km  from city center ," Popular as Shiva temple, at a distance of about 13 km from Alibaug is the Kanakeshwar Devasthan Temple, located on a hill at an altitude of 900 feet. Climb some 5000 odd steps to reach this this temple. "
2312,2313,Maharashtra,Alibaug, 25. Nagoba Mandir ,All Year, 1 km  from city center ," Known for legends to its origins and its hanging clusters of countless bells, Nagoba Mandir is a significant religious centre, near the Saswane Beach. "
2313,2314,Maharashtra,Alibaug, 26. Hanuman temple ,All Year, 1 km  from city center ," Located within the premises of Kanakeshwar Devasthan Temple, the Hanuman temple is 13km away from Alibaug. God Hanuman, an ardent devotee of Lord Rama is worshipped here. "
2314,2315,Maharashtra,Alibaug, 27. Khanderi Island ,All Year, 8 km  from city center ," Located 5km off the coast of Maharashtra lies a tiny island of Khanderi. Officially renamed as Kanhoji Angre island in 1998, it consists of a fortification with its sister fort Underi. The island is home to two hills and a lighthouse built by the British in 1867. As the fort falls under the jurisdiction of the Indian Navy, it's a restricted area; however, one can visit the island and the lighthouse with a minimal charge. "
2315,2316,Maharashtra,Alibaug, 28. Karmarkar Museum ,All Year, 14 km  from city center ," Displaying the life works of Padmashree VP Karmarkar, the Karmarkar Museum exhibits 150+ carved sculptures. Located 18km away from Alibaug in Bodani, the museum holds statues of different sizes, weights and structures. Late VP Karmarkar, has sculpted his granddaughter Suman at various stages of her life and some of the other notable sculptures include Hira Kolin and Shankhdhwani. The artworks and carvings date back to the 20th century, and hence it’s a great place for art students and enthusiasts.  "
2316,2317,Maharashtra,Alibaug, 29. Sagargad Fort ,All Year, 9 km  from city center ," Situated at the height of 1357 ft above sea level, the Sagargad Fort offer a steering view of alibaug region. Lying 2 hours away from the Village of Khandale in Raigad district, this hill fort is home to a temple of Mahishasurmardini, Siddheshwar Monastery and the Dodhane waterfall. 
 "
2317,2318,Tamil Nadu,Rameshwaram, 1. Rameshwaram Temple ,All Year, 0 km  from city center , Rameshwaram is an exquisite temple in southern India dedicated to Lord Shiva. It is one for the 12 jyotirlingas. This place has a lot of importance in Hindu mythology and Lord Rama and Sita themselves are believe to have built the two lingams currenlty housed in the temple.  
2318,2319,Tamil Nadu,Rameshwaram, 2. Dhanushkodi Temple and Beach ,All Year, 11 km  from city center ," Dhanushkodi was until a few years ago a wonderful temple on the southern tip of India. However, due to a natural calamity, the cyclone, it got completely washed away. "
2319,2320,Tamil Nadu,Rameshwaram, 3. Jatayu Tirtham ,All Year, 1 km  from city center ," Jatayu tirtham is the holy temple constructed in the memory of Jatayu, who was the most loyal eagle of Rama and who helped lord Rama at various instances in getting herbs from the mountains. "
2320,2321,Tamil Nadu,Rameshwaram, 4. Agnitheertham ,All Year, 1 km  from city center ," One of the 64 sacred baths in Rameshwaram, the Agnitheertham is one of the most important theertham and receives a large number of tourists each day. Located on the beach side of Sri Ramanathaswamy temple, Agnitheertham is the only theertham sited outside the temple complex. "
2321,2322,Tamil Nadu,Rameshwaram, 5. Lakshmana Tirtham ,All Year, 1 km  from city center ," Lakshmana Tirtham had been constructed in the loving memory of Lord Lakshman, brother of Lord Rama. In order to offer sacred prayers to lord Lakshmana, this temple has been constructed in Rameshwaram itself which indicates that Lord Lakshman had been given a valuable place in the dynasty of Lord Rama. "
2322,2323,Tamil Nadu,Rameshwaram, 6. Villoondi Tirtham ,All Year, 6 km  from city center , Villoondi Tirtham is a beach which is also considered a sacred natural water body and a favourite amongst tourists. It also has a spring inside the sea which makes the attraction a unique one and is often associated with the Legend of Ramayana. It is believed that Lord Rama shot an arrow to create this spring to help his people with drinking water. 
2323,2324,Tamil Nadu,Rameshwaram, 7. The Five-faced Hanuman Temple ,All Year, 51 km  from city center , Five-faced Hanuman temple is the most renowned temple in Rameshwara. It has mythological evidence where Hanuman showed his profile with five faces. He is reckoned to be embellished with senthooram at this particular place. 
2324,2325,Tamil Nadu,Rameshwaram, 8. Gandhamadhana Parvatham ,All Year, 2 km  from city center ," Gandhamadhana Parvatham is the deity of several communities in southern India and the temple of Gandhamadhana is highly revered, renowned and worshiped in the southern India. "
2325,2326,Tamil Nadu,Rameshwaram, 9. Ariyaman Beach ,All Year, 27 km  from city center ," Ariyaman Beach is a long stretch of pristine white sand beach famous for its scenic beauty. The clear waters and the gentle waves create an irresistible environment for the tourists. The beach is also called Khushi Beach and has enough facilities for boating, swimming and water sports. Those who never wish to leave the beach can opt to stay at one of the cottages by the seashore. "
2326,2327,Tamil Nadu,Rameshwaram, 10. Silk Shopping ,All Year, 10 out of 22  places to visit in Rameshwaram ," One of the prime things to do in Rameswaram is to shop for silk. It is absolutely essential that you buy some to take back home from here, just fabric or suits or sarees or all of it. The fabric is woven from premium quality silk and is popular worldwide. You absolutely should browse the markets when you are here. "
2327,2328,Tamil Nadu,Rameshwaram, 11. Annai Indira Gandhi Road Bridge ,All Year, 11 km  from city center ," It is the longest bridge in southern India. It connects Rameswaram Island to the main land. It's constructed over the bay. It is 7 km away from Rameshwaram and is also called the Pamban Bridge as it is located beside Pamban, the sacred place where Rama could quench the thirst of Sita by throwing an arrow in the place where they could actually retrieve cool water. "
2328,2329,Tamil Nadu,Rameshwaram, 12. Sea World Aquarium ,All Year, 0 km  from city center ," Sea World Aquarium is a famous attraction with a splendid collection from the sea world. They have a number of aquatic species that thrive in the oceans like the Shark, Rabbit Fish, Lobsters and Octopus. They also sell items made of seashells that tourists can purchase as memorabilia. "
2329,2330,Tamil Nadu,Rameshwaram, 13. Kothandaramaswamy Temple ,All Year, 7 km  from city center , Kothandaramaswamy temple is situated on the southern most tip of India and is situated on the island near Bay of Bengal. Indian Ocean covers it from all its sides. 
2330,2331,Tamil Nadu,Rameshwaram, 14. Jada Tirtham ,All Year, 12 km  from city center , Kaveri tirtham is the holy tirtham in southern India where god Kapardishvara is worshipped. Jada tirtham is a small temple which lies within Kaveri Tirtham and holds its own mythological importance. 
2331,2332,Tamil Nadu,Rameshwaram, 15. Glass boat ride at Pamban Bridge ,All Year, 12 km  from city center ," With exotic fishes and marvelous corals to see, the glass boat ride at Pamban Bridge is a must do. "
2332,2333,Tamil Nadu,Rameshwaram, 16. Abdul Kalam House ,All Year, 0 km  from city center ," APJ Abdul Kalam House or the House of Kalam is the residence of former President of India, an accomplished scientist and an inspirational figure. This is the place where he was raised by his parents along with his siblings. The house is now turned into a museum where tourists can get a glimpse into Abdul Kalamês life and his achievements. "
2333,2334,Tamil Nadu,Rameshwaram, 17. Burial Place Of Abdul Kalam ,All Year, 5 km  from city center , Burial Place of APJ Abdul Kalam is where the mortal remains of the 11th President of India are laid to rest in peace. The burial ground is visited often by admirers to pay homage to the Missile Man of India. 
2334,2335,Tamil Nadu,Rameshwaram, 18. Kalam National Memorial ,All Year, 9 km  from city center ," Kalam National Memorial was built in the honour of Dr. APJ Abdul Kalam. The splendid memorial was initiated by the Defence Research and Development Organisation in 2015. They display an impressive collection of memorabilia that cherishes the priceless contributions of Dr. APJ Abdul Kalam including replicas of missiles, rockets and information about the Pokhran Nuclear Test. "
2335,2336,Tamil Nadu,Rameshwaram, 19. Kunthu Kal Beach ,All Year, 11 km  from city center , Kunthu Kal Beach is located on the Pamban Island in the Indian Ocean. The tranquil seashore is a treat to beach lovers. The picturesque location of turquoise waters and glimmering sand lined by coconut trees draws tourists every year. The beach is also said to be a rich source of medicinal herbs in the region. 
2336,2337,Tamil Nadu,Rameshwaram, 20. Nambu Nayagiamman Temple ,All Year, 3 km  from city center , Nambu Nayagiamman Temple is a 14th century temple dedicated to Lord Rama. The tranquillity and the splendid architecture with enormous bells and beautiful lawns draw not just the devotees but tourists as well. The main shrine is an open structure built to allow sunlight in which adds to the uniqueness of the temple. 
2337,2338,Tamil Nadu,Rameshwaram, 21. Thiruppullani ,All Year, 54 km  from city center ," Thiruppullani is an ancient temple dedicated to Lord Vishnu but the presiding deity is Lord Darbha Sayana Rama whose idol is seen in a reclining posture. A good example of Dravidian architecture, the complex was built when Chola Kingdom was in power. It is one of the 108 Divya Desams - a pilgrimage visited most during the Rameshwaram pilgrimage. "
2338,2339,Tamil Nadu,Rameshwaram, 22. Water Bird Sanctuary ,All Year, 0 km  from city center , Water Bird Sanctuary is a bird watcherês paradise with dense natural vegetation and several water bodies that attract native and migratory bird species. The sanctuary is separated from the mainland by the Pamban Channel and offers shelter for the avian species. Research has revealed that several species migrate to the sanctuary for breeding while the native species thrive in the sheltered environment. 
2339,2340,Uttar Pradesh,Vrindavan, 1. Banke Bihari Mandir ,All Year, 56 km  from city center , Shri Banke Bihari Mandir is a Hindu temple dedicated to Lord Krishna.This temple is among the 7 temples of Thakur of Vrindavan. The image of Lord Krishna in the temple appears in the form of a child and is seen standing in the Tribhanga position.  
2340,2341,Uttar Pradesh,Vrindavan, 2. Prem Mandir ,All Year, 3 km  from city center ," Known as ""Temple of God's love"", Prem Mandir is one of the most popular places to visit in Vrindavan. It is dedicated to Radha Krishna as well as Sita Ram. Made out of white marble and adorned with very intricate carvings, this temple is also famous for its architectural beauty.  "
2341,2342,Uttar Pradesh,Vrindavan, 3. Radha Raman Temple ,All Year, 1 km  from city center ," Built by Gopala Bhatta Gosvami, this temple was established in 1542. It is said that the deity here is self manifested from one of the shalagram-shilas. As an idol of Radha is not present here, a crown placed near Lord Krishna depicts her. "
2342,2343,Uttar Pradesh,Vrindavan, 4. Nidhivan ,All Year, 12 km  from city center ," Nidhivan, a temple nestled in the holy birthplace of Krishna, has a sense of miracle attached to it. Nidhivan is known as the place that Lord Krishna visits it every night performs Ras Leela. "
2343,2344,Uttar Pradesh,Vrindavan, 5. ISKCON Temple ,All Year, 2 km  from city center ," Located in the Raman Reti area of Vrindavan, ISKCON temple has become the major attraction in Vrindavan. Also known as Sri Sri Krishna Balaram Mandir, the temple is dedicated to Lord Krishna and Balram. "
2344,2345,Uttar Pradesh,Vrindavan, 6. Govind Devji Temple ,All Year, 3 km  from city center ," Govind Devji Temple is dedicated to Lord Krishna in his childhood home. Although the original idol no longer exists in the temple, it is said that the idol of Lord Krishna in Govind Devji Temple resembled the face of the lord when he was born. "
2345,2346,Uttar Pradesh,Vrindavan, 7. Sri Rangji Mandir ,All Year, 0 km  from city center ," Rangji Temple, also known as Sri Ranganath Temple, is dedicated to Lord Sri Goda Ranagamannar and Lord Ranganatha. The highlight is the idol of Krishna present in the form of the groom with Goda (Andal) as his bride.  "
2346,2347,Uttar Pradesh,Vrindavan, 8. Katyayani Peeth ,All Year, 1 km  from city center ," The Katyayani Peeth in Vrindavan, also known as Uma Shakti Peeth is one of the 51 Shakti Peethas. It is believed that when Lord Vishnu used his Sudarshan Chakra to cut Maa Sati’s body to relieve Lord Shiva from the sorrow of losing his wife, the ringlets of her hair fell in this place. "
2347,2348,Uttar Pradesh,Vrindavan, 9. Nandgaon ,All Year, 865 km  from city center ," Located at a distance of 8 km from Barsana and 50 km from Mathura, Nandgaon is a quaint little town situated at the base of a Nandisvara Hill and which holds immense religious significance. The town is highly revered by Hindu pilgrims as it is believed to be the home of the foster parents of Lord Krishna- Shri Nandji and Yashoda Maiyya. There is also a spacious temple situated atop the hill which is dedicated to Shri Nandji.  "
2348,2349,Uttar Pradesh,Vrindavan, 10. Gokulnanda Temple ,All Year, 1 km  from city center ," An ancient shrine in Vrindavan, the Gokulnanda Temple houses multiple deities of Radha-Vinoda of Lokanatha Goswami, Vijaya Govinda of Baladeva Vidyabhusana and Radha Gokulananda of Vishwanath Cakravarti. "
2349,2350,Uttar Pradesh,Vrindavan, 11. Gopishvar Mahadev Temple ,All Year, 4 km  from city center ," Dedicated to Lord Shiva, this temple depicts the lord in the form of a gopi. This has been derived from a tale where he took the shape of a female to see the Rasa dance. "
2350,2351,Uttar Pradesh,Vrindavan, 12. Shahji Temple ,All Year, 1 km  from city center ," The Shahji temple was built in the year 1876 by Shah Kundan Lal, and is dedicated to Lord Krishna. The main deity here is known as Chhote Radha Raman. "
2351,2352,Uttar Pradesh,Vrindavan, 13. Barsana ,All Year, 34 km  from city center ," Barsana is the birthplace of Radha Rani as the Hindu goddess Radha (Lord Krishna's consort) was born in this city. Barsana is also popular for the grand celebration performed during the Holi festival, known as the Lathmar Holi. "
2352,2353,Uttar Pradesh,Vrindavan, 14. Chamunda Devi Temple ,All Year, 7 km  from city center ," Chamunda Devi Temple is one of the 51 Shakti Peetha. It is believed that a hair strand of Mother Bhagwati Jagdamba fell at this sacred spot. Also, according to Srimad Bhagwat, Sri Krishna visited Chamunda Devi Temple after liberating the dragon.  "
2353,2354,Uttar Pradesh,Vrindavan, 15. Keshi Ghat ,All Year, 1 km  from city center ," Keshi Ghat is the main ghat of Vrindavan, and the only one still remaining. It is believed that in dwapara yuga, Lord Krishna killed Keshi here who was a horse demon sent by Kansa. Yamuna maha-aarti is performed at Keshi Ghat every evening.  "
2354,2355,Uttar Pradesh,Vrindavan, 16. Radha Damodar Temple ,All Year, 1 km  from city center , Radha Damodar Temple is one of the seven Goswami temples and houses the Giriraj Shila which was given to Srila Sanatana Goswami by Sri Krishna. There are idols of Sri Radha Rani and Lalita Sakshi along with Sri Damodar. It is also believed that the temple houses some fragments of the Govardhan Hill. 
2355,2356,Uttar Pradesh,Vrindavan, 17. Mathura ,All Year, 15 km  from city center ," One of Hinduism's seven sacred cities, Mathura is the birthplace of Lord Krishna.  Mathura and Vrindavan are often considered twin cities (located only 10km away from each other). It is best visited during holi and Janmashtami. "
2356,2357,Uttar Pradesh,Vrindavan, 18. Madan Mohan Temple ,All Year, 1 km  from city center , Madan Mohan Tempe is the oldest temple in Vrindavan. It is believed that Lord Krishna rested at this site after conquering Kaliya Naag. Radha and Lalita Sakhi are worshipped here along with Madana Mohan (Sri Krishna). The view of Vrindavan from the temple is stunning. 
2357,2358,Tamil Nadu,Coimbatore, 1. Vydehi Falls ,All Year, 22 km  from city center ," The Vydehi water falls is situated some 35 km away from the Coimbatore city. People who pay a visit to Coimbatore must make it a point to visit the Vydehi water falls, as it is one of the most familiar water fall and is highly known for its magnificence. "
2358,2359,Tamil Nadu,Coimbatore, 2. Adiyogi Shiva Statue ,All Year, 24 km  from city center ," Surrounded by verdant green farms at the foothills of Velliangiri Mountains in the Western Ghats, Adiyogi Shiva Statue is the world’s biggest bust statue dedicated to the celebrated Hindu deity Shiva, which is carved out of 500 tonnes of steel. Located in the Isha Yoga Complex in Coimbatore, Tamil Nadu, the sculpture stands tall at a height of 112 feet.  "
2359,2360,Tamil Nadu,Coimbatore, 3. Kovai Kondattam ,All Year, 9 km  from city center ," Kovai Kondattam is an amusement park located about 2 kilometres away from Perur, in Coimbatore, Tamil Nadu. A fun-filled destination ideal for spending hours of unending entertainment with friends and family, Kodai Kondattam is an eco-friendly theme park. The park was built by Tamil actor Vijay and caters to al large base of visitors with its numerous water-based and dry rides "
2360,2361,Tamil Nadu,Coimbatore, 4. Marudhamalai Hill Temple ,All Year, 11 km  from city center ," The Marudhamalai hill temple is located at a towering height of 500 ft in the highland on the Western Ghats. 15 kms away to north-west of Coimbatore city, the temple has an excellent invigorating atmosphere. Vehicles are allowed to pass through the Marudhamalai temple and the devasthanam has granted three buses from the low slope of the hill to get through the temple on top. "
2361,2362,Tamil Nadu,Coimbatore, 5. Ayyappan Temple ,All Year, 5 km  from city center ," Located in the centre of the city of Coimbatore in Tamil Nadu, India; the Sree Ayyappan Temple is a significant temple that is dedicated to Lord Sree Ayyappa. This temple in Coimbatore has been built on the same lines as of the original Sabarimala Temple in Kerala "
2362,2363,Tamil Nadu,Coimbatore, 6. Vellingiri Hill Temple ,All Year, 29 km  from city center , Velliangiri Hill Temple is situated some 40 km away from the city Of Coimbatore. The temple has essentially been dedicated to Lord Siva and sits on the Velliangiri Hill which has an imperial altitude of 6000 feet. The Velliangiri hill temple is contemplated to be the most conspicuous worship abode in and around Coimbatore and an immense number of tourist groups visit this hill temple to offer their prayers. 
2363,2364,Tamil Nadu,Coimbatore, 7. Monkey Falls ,All Year, 62 km  from city center ," The Monkey falls is an exemplary and archetypal out-of-doors coffee break spot, which is situated some 65 kilometers away from Coimbatore city and it is some 27 kilometer away from Pollachi on Coimbatore-Pollachi-Valparai main road. "
2364,2365,Tamil Nadu,Coimbatore, 8. VOC Park and Zoo ,All Year, 2 km  from city center ," VOC Park & Zoo is an Amusement Park and Zoological Garden mostly visited by locals of Coimbatore for recreational purposes. This is a preferred picnic spot for families who get their kids to have a wonderful time and introduce their children to the world of animals. The park has a play area for the kids, an aquarium and a Jurassic Park where not just children but even adults can have fun.  "
2365,2366,Tamil Nadu,Coimbatore, 9. Nilgiri Biosphere Nature Park  ,All Year, 24 km  from city center ," Established in 1936, Nilgiri Biosphere Reserve or Nilgiri Biosphere Nature Park is an initiative of the government to preserve the rich flora and fauna of the Nilgiris. The park boasts of over 430 species of 25,000 plants in addition to several species of mammals, reptiles, birds etc. "
